name,sku,price,all_ln_stock,supplier,manufacturer,category_ids
"[GA-B85M-HD3] B85,2DDR3,1600,PCIE3.0,SATA3,USB3,uATX,HDMI,DVI,GbE",GA-B85M-HD3,95,Pre Order,synnex,Gigabyte,15
"[B85M-E] LGA1150,B85,4DDR3,HDMI,4U3, PCI mATX (NEW NDA 3rd June 2013)",B85M-E,105,In Stock,synnex,Asus,15
"[B85M-G] LGA1150,B85,4DDR3,HDMI,4U3, (NEW NDA 3rd June 2013)",B85M-G,105,In Stock,synnex,Asus,15
[BOXD34010WYK] NUC BLACK D34010WYK/uCFF/CORE I3-4010U/DDR3L 1333/GBLAN/1x mini HDMI/1x mini DP,BOXD34010WYK,375,Back Order Only,synnex,Intel,15
[BOXD54250WYK] NUC BLACK D54250WYK/uCFF/CORE I5-4250U/DDR3L 1333/GBLAN/1x mini HDMI/1x DP,BOXD54250WYK,495,In Stock,synnex,Intel,15
[BOXDC53427HYE] NUC BLACK QS77/uCFF/CORE I5/DUAL CH SO-DIMM/GMA4000/GBLAN/1XHDMI/USB3.0/VPRO/BAREBONE,BOXDC53427HYE,495,Pre Order,synnex,Intel,155
"[BOXDN2820FYKH0] Celeron NUC w/HDD Space Retail Kit/N2820/DDR3L 1333/support 2.5"" HDD/1x HDMI/USB3.0/GLAN",BOXDN2820FYKH0,175,In Stock,synnex,Intel,15
"[GA-F2A88XM-D3H] FM2+,A88X,4DDR3 1866,RADEON,PCIE3.0,GLAN,RAID,HDMI,DVI,VGA,u-ATX",GA-F2A88XM-D3H,95,In Stock,synnex,Gigabyte,15
"[GA-H81M-DS2] H81,2DDR3 DIMM,PCIE2.0,SATA3,GLAN,USB3.0,uATX,RGB",GA-H81M-DS2,69,In Stock,synnex,Gigabyte,15
"[GA-H81M-HD3] H81,2DDR3 DIMM,PCIE2.0,2XPCI,SATA3,GLAN,USB3.0,uATX,HDMI,DVI,DSUB,DP",GA-H81M-HD3,95,Pre Order,synnex,Gigabyte,15
"[GA-H81M-S2PV] H81,2DDR3 DIMM,PCIE2.0,2XPCI,SATA3,GLAN,USB3.0,uATX,DVI,DSUB",GA-H81M-S2PV,74,In Stock,synnex,Gigabyte,15
"[GA-Q87M-MK] Q87,4DDR3,1600,RAID,PCIE3.0,SATA3,USB3,mATX,HDMI,DVI,DP,GbE",GA-Q87M-MK,143,Ships In 24Hrs,synnex,Gigabyte,15
"[A88XM-A] AMD A88X, FM2 AND FM2+, 2DDR3, STAT 6Gb, USB3.0, HDMI, DVI, D-SUB, CrossfireX, PCIe 2.0, mATX",A88XM-A,99,Pre Order,synnex,Asus,15
"[A88XM-PLUS] AMD A88X, FM2 AND FM2+, 2DDR3, STAT 6Gb, USB3.0, HDMI, DVI, D-SUB, CrossfireX, PCIe, mATX",A88XM-PLUS,118,In Stock,synnex,Asus,15
"[A88X-PRO] AMD A88X, FM2 AND FM2+, 4DDR3, STAT 6Gb, USB3.0, HDMI, DVI, D-SUB, DP,CrossfireX, 2PCIe 2.0, ATX",A88X-PRO,125,In Stock,synnex,Asus,15
"[DBS1200BTLR] S1200BTLR/ATX/LGA1155/DDR3/RAID 0,1,5,10",DBS1200BTLR,329,In Stock,synnex,Intel,15
"[DBS1200BTSR] S1200/micro-ATX/LGA1155/DDR3/RAID 0,1,5,10",DBS1200BTSR,289,In Stock,synnex,Intel,15
"[DBS1200V3RPL] Intel S1200V3RPL Micro-ATX Server M/B, LGA1150",DBS1200V3RPL,339,In Stock,synnex,Intel,15
[DBS1200V3RPS] Intel Motherboard DBS1200V3RPS LGA1150 DDR3 PCIE3.0 SATA uATX,DBS1200V3RPS,249,In Stock,synnex,Intel,15
"[DBS2600COE] S2600CO,LGA2011,XEON E5-26xx,16DIMM DDR3,4GbE,RAID 0-5,150w",DBS2600COE,769,Pre Order,synnex,Intel,15
"[DBS2600CP2] S2600CP2,LGA2011,XEON E5-26xx,16DIMM DDR3,2GbE,RAID 0-5,135w",DBS2600CP2,749,Pre Order,synnex,Intel,15
"[R545-1GI] RADEON HD5450,1GB,64bit,GDDR3,PCIE2.0,DVI,HDCP,HDMI",R545-1GI,46,In Stock,synnex,Gigabyte,17
"[R7240-2GD3-L] R7240,DVI,HD,HDMI,, VGA",R7240-2GD3-L,78,In Stock,synnex,Asus,17
"[R724OC-2GI] AMD R724, 780MHZ(BOOST 900MHZ),2GBDDR3,DVI,HDMI,VGA,ATX 2SLOT,",R724OC-2GI,78,Pre Order,synnex,Gigabyte,17
"[R725OC-2GI] AMD R725,1050MHZ (BOOST 1100MHZ), 2GBDDR3,DVI,HDMI,VGA,ATX 2SLOT",R725OC-2GI,109,In Stock,synnex,Gigabyte,17
"[R726XOC-2GD] AMD R726X,1100MHZ(BOOST 1188MHZ),2GBDDR5,DUAL DVI,HDMI,DP,ATX,10CM FAN",R726XOC-2GD,169,In Stock,synnex,Gigabyte,17
"[R9270-DC2OC-2GD5] AMD R9270,DVI-D,DVI-I,DP,HDMI,2GB",R9270-DC2OC-2GD5,215,Pre Order,synnex,Asus,17
"[R9270X-DC2T-2GD5] AMD R9270X,2GB DDR5,1000MHz,DVI,HDMI,DP,PCIe3.0,DCU2,CFIRE",R9270X-DC2T-2GD5,249,Pre Order,synnex,Asus,17
"[R927OC-2GD] RADEON R9 270, 900MHZ,2GBDDR5,DUAL DVI,HDMI,DP,ATX 2SLOT,WINDFORCE2X",R927OC-2GD,205,Pre Order,synnex,Gigabyte,17
"[N210D3-1GI] GT210,1GB,64bit,GDDR3,PCIE2.0,D-SUB,DVI,HDMI,LP,FAN",N210D3-1GI,44,Pre Order,synnex,Gigabyte,17
"[N210SL-1GI] GT210,1MB,64bit,GDDR3,PCIE2.0,VGA,DVI,HDCP,HDMI,LP,SLIENT,2 SLOT FAN",N210SL-1GI,41,In Stock,synnex,Gigabyte,17
"[N610SL-1GI] GT610, LP, 810Mhz,PCIE2.0, 1G, DDR3, HDMI, DVI,VGA, PASSIVE COOLING, NO FAN",N610SL-1GI,57,In Stock,synnex,Gigabyte,17
"[N750OC-1GI] GTX750, 1059MHZ (BOOST 1137MHZ),1GB GDDR5,PCI-E3.0,DUAL-LINK DVI-I,DVI-D,HDMIX2,ATX 2SLOT,400W",N750OC-1GI,160,In Stock,synnex,Gigabyte,17
"[GT610-SL-1GD3-L] GT610,1GD,DDR3,810MHz,64bit,RGB,DVI,HDMI,PCIe2.0,No Fan",GT610-SL-1GD3-L,59,In Stock,synnex,Asus,17
"[GTX750TI-OC-2GD5] Geforce GTX750Ti, 2GB DDR5,1072Mhz(boost 1150MHz),128bit,DSUB,2xDVI,HDMI,PCI3.0",GTX750TI-OC-2GD5,199,In Stock,synnex,Asus,17
"[GTX750TI-PH-2GD5] GeForce GTX750Ti,2GB DDR5,1020MHz(boost 1085MHz),128bit,DSUB,2xDVI,HDMI,PCI3.0",GTX750TI-PH-2GD5,185,In Stock,synnex,Asus,17
"[EAH5450SLIDI1GD3LP] RADEON 5450,1G,DDR3,PCIE2.1,DVI,HDCP,HDMI,64BIT,No Fan",EAH5450SLIDI1GD3LP,45,In Stock,synnex,Asus,17
"[EN210SLNDI1GD3V2LP] GT210,1GB,DDR3,PCIE2.0,DVI-I,HDMI,LP VERSION,SLIENT",EN210SLNDI1GD3V2LP,39,In Stock,synnex,Asus,17
XONAR-DG,XONAR-DG,33,In Stock,synnex,Asus,18
XONAR-DGX,XONAR-DGX,52,In Stock,synnex,Asus,18
XONAR-DSX,XONAR-DSX,69,Pre Order,synnex,Asus,18
XONAR-DX,XONAR-DX,113,In Stock,synnex,Asus,18
XONAR-ESSENCE1,XONAR-ESSENCE1,550,In Stock,synnex,Asus,18
XONAR-ESSENCE-STU,XONAR-ESSENCE-STU,496,In Stock,synnex,Asus,18
XONAR-ESSENCESTX,XONAR-ESSENCESTX,220,Pre Order,synnex,Asus,18
XONAR-PHOEBUS-ROG,XONAR-PHOEBUS-ROG,274,In Stock,synnex,Asus,18
XONAR-U7,XONAR-U7,124,In Stock,synnex,Asus,18
"[WD1000DHTZ] WD VELOCIRAPTOR 1TB,3.5"",SATA 6GB/S,10,000RPM,32MB,5YRS",WD1000DHTZ,265,In Stock,synnex,Western Digital,23
"[WD1003FBYZ] WD Re Drive 3.5"" 1TB, 7200RPM, 64MB, SATA 6 Gb/s, 5 YRS, ENTERPRISE",WD1003FBYZ,135,In Stock,synnex,Western Digital,23
[WD1003FZEX] WD Black 1 TB/3.5-inch/SATA 6/7200 RPM/64 MB,WD1003FZEX,97,In Stock,synnex,Western Digital,23
"[WD10EFRX] WD10EFRX - CAVIAR RED/1TB/INTELLIPOWER/DDR2/64MBs/3.5""/ 3YRS",WD10EFRX,89,In Stock,synnex,Western Digital,23
"[WD10EZEX] CAVIAR BLUE/1TB/7200RPM/SATA3/64MB/3.5""/ 2YRS",WD10EZEX,69,In Stock,synnex,Western Digital,23
"[WD10EZRX] CAVIAR GREEN/1TB/IntelliPower/SATA3/64 MB/3.5""/ADV FORMA",WD10EZRX,69,Pre Order,synnex,Western Digital,23
"[WD10JFCX] WD RED/1TB/SATA/16MBs/2.5""/ 3YRS",WD10JFCX,109,Pre Order,synnex,Western Digital,23
[WD10JPVX] WD BLUE 1 TB SATA 6 Gb/s 2.5-inch INTERNAL MOBILE HARD DRIVE,WD10JPVX,85,In Stock,synnex,Western Digital,23
[WD10SPCX] WD 1TB SATA 6 Gb/s 5400 RPM 2.5'' 7mm Slim Blue,WD10SPCX,129,In Stock,synnex,Western Digital,23
"[WD2000F9YZ] WD SE 2TB,3.5"",SATA 6GB/S,7200RPM,64MB,5YRS",WD2000F9YZ,159,Ships In 24Hrs,synnex,Western Digital,23
"[WD2000FYYZ] WD RE 2TB,3.5"",SATA 6GB/S,7200RPM,64MB,5YRS",WD2000FYYZ,219,In Stock,synnex,Western Digital,23
"[WD2001FYYG] WD RE SAS 2TB,3.5"",SAS 6GB/S,7,200RPM,32MB,5YRS",WD2001FYYG,249,Pre Order,synnex,Western Digital,23
[WD2003FZEX] WD Black 2 TB SATA 6 Gb/s/64 MB /7200 RPM,WD2003FZEX,169,In Stock,synnex,Western Digital,23
